Item name,braised beef used (g),Braised Chicken(g),Braised Pork(g),Egg(count),Rice(g),Ramen (count),Rice Noodles(g),chicken thigh (pcs),Chicken Wings (pcs),flour (g),Pickle Cabbage,Green Onion,Cilantro,White onion,Peas(g),Carrot(g),Boychoy(g),Tapioca Starch
Beef Tossed Ramen,140,,,0.5,,1,,,,,50,20,20,,,,50,
Beef Ramen,140,,,0.5,,1,,,,,,20,20,,,,,
Beef Fried Rice,100,,,1,350,,,,,,,20,,20,10,10,,
Pork Fried Rice,,,100,1,350,,,,,,,20,,20,10,10,,
Chicken Fried Rice,,100,,1,350,,,,,,,20,,20,10,10,,
Fried Wings,,,,,,,,,8,50,,,,,,,,
Pork Tossed Ramen,,,140,0.5,,1,,,,,50,20,20,,,,,
Pork Ramen,,,140,0.5,,1,,,,,,20,20,,,,50,
Chicken Tossed Ramen,,140,,0.5,,1,,,,,50,20,20,,,,,
Chicken Ramen,,140,,0.5,,1,,,,,,20,20,,,,50,
Chicken Cutlet,,,,0.5,,,,1,,,,,,,,,,60
Beef Tossed Rice Noodles,140,,,0.5,,,300,,,,50,20,20,,,,,
Pork Tossed Rice Noodles,,,140,0.5,,,300,,,,50,20,20,,,,,
Chicken Tossed Rice Noodles,,140,,0.5,,,300,,,,50,20,20,,,,,
Beef Rice Noodle Soup,140,,,0.5,,,300,,,,,20,20,,,,50,
Pork Rice Noodle Soup,,,140,0.5,,,300,,,,,20,20,,,,50,
Chicken Rice Noodle Soup,,140,,0.5,,,300,,,,,20,20,,,,50,
